Person,B_bw2,B_bw5,B_bw20,B_bw50,B_bw100,Time_approach_B_bw2,Time_approach_B_bw5,Time_approach_B_bw20,Time_approach_B_bw50,Time_approach_B_bw100,Time_interaction_B_bw2,Time_interaction_B_bw5,Time_interaction_B_bw20,Time_interaction_B_bw50,Time_interaction_B_bw100
11,"[0.50238839373396, 0.007837379271624412, 0.09272318542931723, 0.9976688871565856, 0.04206671150326488, 0.05167423214376425, 0.014729464192339912]","[0.4892776056765239, 0.01941552923357803, 0.09808722081136641, 0.9971262617978403, 0.049607033809796856, 0.05526323423135001, 0.01497782267052221]","[0.492484595384304, 0.019726009367362823, 0.09151788285642151, 0.9957722870112252, 0.06827923684189276, 0.06019152236276381, 0.012348233573096933]","[0.4758778213584466, 0.031352117254424716, 0.10517012512552956, 0.9956688939057137, 0.0780365272452305, 0.048118366909516264, 0.01543945886481429]","[0.48697518671359774, 0.0190321851118672, 0.09567062560706431, 0.9959691149219874, 0.05787035562069518, 0.0662673291663882, 0.017469549135598172]",12.13082790374756,8.434411525726318,8.913047313690186,5.280540943145752,5.5722270011901855,17.076616287231445,4.132405996322632,6.804620027542114,10.628161430358888,3.91498327255249
12,"[0.5175539487621752, 0.0064985572735802005, 0.09844067321767337, 0.9997886148120905, 0.012107877595267217, 0.011086518135474491, -0.012377968649633671]","[0.492145318496041, 0.017899389500058437, 0.10713527727228322, 0.9996445969203717, 0.024223327060221043, 0.0028724219832852132, -0.010754509100424862]","[0.5183578879591971, 0.011636889949542295, 0.09896455931551415, 0.9994845998895499, 0.016444454460493422, 0.023997526474553353, -0.013573254002862689]","[0.5132009536220876, -0.0031356386367255647, 0.09769451656185611, 0.9994708828793133, -0.002177127224633791, 0.030330287503662214, -0.011545044540363267]","[0.4970078181804088, 0.014368597670936496, 0.1009232906056839, 0.9997163327312963, 0.020379768749630496, 0.00103526120542434, -0.012281992111871831]",15.484502792358398,14.676143407821655,10.235758543014526,11.45703125,12.090948820114136,14.917315483093262,16.969557285308838,16.733521699905396,8.58752965927124,11.086184740066528
13,"[0.48581253911157907, 0.02250956853073606, 0.11423717252996486, 0.99934941738809, 0.02784363108587627, -0.017268306629555242, -0.01507580048244029]","[0.4959510316976658, 0.02044528194804834, 0.10444213911274182, 0.9995494545657466, 0.023904859924688906, -0.002993585665832919, -0.017902066756688564]","[0.513065473366023, -0.005401266802078205, 0.09671228420721163, 0.9991174226668875, -0.0021729768746089387, 0.0390037292701485, -0.015439008970764154]","[0.48609861285154704, 0.027143442684277753, 0.11554929806885327, 0.9994051998845765, 0.0301472772850937, -0.009781034026403217, -0.013591154819938606]","[0.5102069772018972, -0.0005134931669835826, 0.09219022870333228, 0.9998514554683271, 0.0036591677236729138, -0.006249149394411849, -0.01564051218100309]",10.627032041549684,15.65965747833252,13.70189929008484,8.932663440704346,10.865855932235718,12.487830638885498,12.739112138748167,11.54965877532959,22.172817945480347,21.74202370643616
14,"[0.49111423913567565, 0.03527866185117083, 0.1124438137163258, 0.9982384354555289, 0.038771773320176305, 0.04185780096929951, -0.016269605739571657]","[0.513109447850986, -0.017664532478706384, 0.09587410101452909, 0.9993119009658404, -0.012522985882357106, 0.03258105615266861, -0.012544887110101922]","[0.5130592367283603, -0.007452276120207413, 0.09226014465073357, 0.9997889931223509, -0.005226756838046244, 0.00768498311970863, -0.01831915060261576]","[0.5000522508070897, 0.012466235458011857, 0.09703908641434064, 0.999699571232291, 0.011119305832395236, -0.00037062377065604613, -0.021840122568332725]","[0.5077164148815076, 0.010591903824547106, 0.09716328785685655, 0.9990432061696033, 0.010433577705942393, 0.037280040264004284, -0.020347266659871736]",27.41933846473694,18.049159049987797,13.779733419418337,10.010754823684692,8.768562078475952,22.6552529335022,22.884186267852783,52.84655976295471,7.604430913925171,6.401403903961182
15,"[0.4988352609542658, 0.022714463551077917, 0.11235473567583916, 0.9992710888515559, -0.005142488101968185, 0.01792312385373043, -0.033310770523521674]","[0.49352813017459146, 0.019972396959977903, 0.10806160127957697, 0.9992461478543241, -0.008509207011544853, 0.018041723887235114, -0.03330503856034133]","[0.4898311928236218, 0.008472462346678552, 0.09662524331551225, 0.9992587230503279, -0.019992957992964903, 0.007317205010718365, -0.03207404791027703]","[0.5159305449407285, -0.008161271680652246, 0.08696736944569364, 0.9997345811688876, -0.008563449719453328, -0.0009053195701785655, -0.021368550265456632]","[0.4897505096556259, 0.016178698074779597, 0.092184870902815, 0.9995483103762668, -0.010003211799587382, 0.0031093875907020783, -0.028168114712443182]",25.088247299194336,13.567508935928345,14.329447269439695,10.857258319854736,11.021666526794434,24.60452508926392,14.842139720916748,9.291122436523438,19.132312059402462,5.451141834259033
16,"[0.5220235938058693, -0.004317956474576095, 0.09588325478791275, 0.9981378161404948, -0.03155324062570623, -0.036489493496550826, -0.03733376301238854]","[0.5037212955588145, 0.014658696344503147, 0.10394140269682964, 0.9996222836991036, 0.011145336762910072, 0.006908809154411947, -0.024152427552901753]","[0.5018557022377212, 0.010980755842887976, 0.09811701181654106, 0.9992001162669413, -0.015660835992542223, -0.018841461000793494, -0.03160482899022398]","[0.5080121353661606, -0.0017355369377234995, 0.09793236199903095, 0.9989719310630302, 0.001803659776736324, -0.035862141860851515, -0.027671908874570803]","[0.4822158682641476, 0.02693543232871042, 0.10929710436784495, 0.9992242684078078, 0.0021386535393105787, -0.026378623333531775, -0.029162575622667643]",18.724366426467896,11.347697257995604,10.843506574630736,15.495681047439575,10.715251684188845,27.98778748512268,7.902672290802002,6.998998403549194,14.13717532157898,45.21267986297608
17,"[0.49913024810290196, 0.014457970007302144, 0.09281811265234788, 0.9995428186711084, 0.01598761588386495, 0.008282395566119942, -0.02428892144686674]","[0.4933261372708447, 0.014130923509030757, 0.10821822128109382, 0.9987656038784533, 0.012269156121892465, -0.04012739013249631, -0.02658061095083882]","[0.48910756059975696, 0.01594254400827671, 0.10645134790383277, 0.9996322127664888, 0.01438354755835396, 0.003679797011839134, -0.02269387259066877]","[0.5007930979508238, 0.00490813656898622, 0.09542131210140743, 0.9997084068034169, 0.009564265590516836, 0.010514777491156398, -0.019520902760872535]","[0.5114604661675324, -0.003952988568065294, 0.10152820058899066, 0.9997933361602043, 0.0015107692904318237, -0.004331369453220092, -0.019805094911654327]",21.476135969161987,16.632477283477783,19.099994897842407,10.587351322174072,13.849287509918211,7.727471590042114,36.33667588233948,12.304433345794678,24.654627799987797,40.667153120040894
18,"[0.5041601449432737, 0.009279048068400554, 0.11469248780619999, 0.9996496463145559, 0.013081984264785105, 0.003871997462720047, -0.022681577249565748]","[0.5198982641971115, -0.00968130114953561, 0.09170468754615362, 0.9991500378213999, -0.004444601027135014, 0.03741227680964283, -0.016726296276324493]","[0.4893095676123628, 0.019637899209979374, 0.10722126583637424, 0.999431023072239, 0.02379789360387964, -0.009025803874912065, -0.022131995960775]","[0.4954019688041687, 0.007360895458577071, 0.1103008210698413, 0.9996914503341494, 0.011632768929137265, 0.0015118696422103182, -0.02189513795414919]","[0.4873666438955899, 0.011327725356490757, 0.1017221850248927, 0.9993864293549809, 0.015036197930430649, 0.024224606300427574, -0.020343205806559475]",16.79200315475464,16.935513019561768,11.49932312965393,16.100335836410522,9.192957639694214,16.655128240585327,23.717299222946167,41.63562273979187,11.488753080368042,10.345410346984863
19,"[0.5020187258486833, 0.0127218830577393, 0.11589152706491897, 0.9992880362597762, 0.01576301673918076, -0.016623839157746886, -0.02997658858205678]","[0.5009829558671149, 0.010464032093740784, 0.1020438875412923, 0.999393419083696, 0.0135316259962476, 0.018987474927508356, -0.025868219613550583]","[0.4707892575275372, 0.035289251342826164, 0.12728622056380756, 0.9988071278023427, 0.0409471181350614, -0.013977812794085264, -0.022633508724042562]","[0.5133896880611035, -0.004062501046560211, 0.08888949115291718, 0.9990609960258667, -0.0012095054982802565, 0.038219774359205455, -0.02036939282806544]","[0.5109281594694721, -0.008562749396814031, 0.08948010091138986, 0.9996061913670922, -0.0068222823842606865, 0.013086139010305245, -0.023867794398497046]",16.809715747833252,17.983474016189575,15.406228065490724,9.719934225082396,8.211327314376831,43.59969925880432,5.9470765590667725,16.65157651901245,25.51806616783142,29.26407217979431
20,"[0.5100337782267416, -0.0027361796829750693, 0.0987131080614277, 0.9995821077959549, -8.648344191671595e-05, -0.0053919326783919445, -0.028399460501951367]","[0.4787519118080057, 0.022024420221265967, 0.11680407454661647, 0.9992625523155557, 0.027714387130692856, -0.006866738294504592, -0.025673180382766034]","[0.5083621782756074, -0.005308145382058657, 0.0902634945141365, 0.9989279636937592, -0.003619429615657833, 0.039647908917187696, -0.023619195549197294]","[0.5004307040570628, 0.0007035526772292969, 0.09753807745196999, 0.9995114670881098, 0.0042052085415257645, 0.021163834485224613, -0.02261051725146855]","[0.49707498597147975, 0.007371465708492789, 0.09134493103674653, 0.9996216027978344, 0.010206752502175783, 0.007852976083604763, -0.024306463952585143]",19.41333103179932,15.98572826385498,10.706801414489746,10.770425081253052,10.657201290130615,19.421242713928223,18.8559627532959,25.388265132904053,23.458779335021973,36.48654055595398
21,"[0.513101861228834, -0.0043161856082687125, 0.09329914779762417, 0.9995645029582846, -0.0019532588363675107, 0.011020782460941346, -0.027304423810517803]","[0.4914821923360804, 0.025479976583277667, 0.11104387379183019, 0.9992101391221002, 0.02975970633926621, -0.0054263969246821885, -0.025768429727274764]","[0.5057024540764363, 0.014658192914752163, 0.09703997319310947, 0.999375328008224, 0.017778070139915437, 0.016791725096833975, -0.02551336823759647]","[0.5018537214964315, 0.006266644985769491, 0.10859152350846657, 0.9995481667681814, 0.010847653487262842, -0.01029835654190496, -0.026071719865095197]","[0.496385506381084, 0.011089207588719287, 0.10379636173033752, 0.9995589034694615, 0.014539358574600737, 0.00298383140741086, -0.02572357473795017]",15.307024955749512,15.116379499435425,13.552977085113524,12.054977178573608,9.090085744857788,11.693319082260132,21.860584020614624,10.474396228790283,10.009924173355104,8.140884160995483
22,"[0.5149700536081212, 0.0005244380242898284, 0.09720375409213629, 0.9996739906055204, 0.004957402529189382, 0.005034529581359321, -0.024535488152714335]","[0.49737543482733365, 0.013753616368447782, 0.10887554448030717, 0.9995399515034729, 0.018836062957086622, 0.005071190071818753, -0.02322436461923831]","[0.4940946870804789, 0.009318280303112339, 0.11010134548375655, 0.9996329936673003, 0.014954917954666821, 0.0018704052320222158, -0.022510663806033726]","[0.5093781709436864, 0.0009600984092425593, 0.09686825316076197, 0.9993859658986655, 0.0051317889371793575, 0.026054239716321696, -0.022858969790878217]","[0.5094123694238064, 0.004342684049733807, 0.09568103670082038, 0.9995850205371526, 0.007941950885309858, 0.012562389052162276, -0.024675869086569394]",22.045897245407104,16.542576789855957,11.53683352470398,10.848668575286863,10.637237310409546,28.96992588043213,8.700356483459473,12.171502590179443,15.48495388031006,13.812866687774658
